,Car_Name,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,car_prices_in_rupee
0,Jeep Compass 2.0 Longitude Option BSIV,"86,226 kms",Diesel,Manual,1st Owner,2017,1956 cc,5 Seats,10.03 Lakh
1,Renault Duster RXZ Turbo CVT,"13,248 kms",Petrol,Automatic,1st Owner,2021,1330 cc,5 Seats,12.83 Lakh
2,Toyota Camry 2.5 G,"60,343 kms",Petrol,Automatic,1st Owner,2016,2494 cc,5 Seats,16.40 Lakh
3,Honda Jazz VX CVT,"26,696 kms",Petrol,Automatic,1st Owner,2018,1199 cc,5 Seats,7.77 Lakh
4,Volkswagen Polo 1.2 MPI Highline,"69,414 kms",Petrol,Manual,1st Owner,2016,1199 cc,5 Seats,5.15 Lakh
5,Volkswagen Vento 1.2 TSI Highline AT,"49,719 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,7.66 Lakh
6,Volkswagen Vento 1.2 TSI Highline Plus AT,"43,688 kms",Petrol,Automatic,1st Owner,2017,1197 cc,5 Seats,7.58 Lakh
7,Honda WR-V VX Diesel,"14,470 kms",Diesel,Manual,1st Owner,2021,1498 cc,5 Seats,11.60 Lakh
8,Honda City i VTEC CVT SV,"21,429 kms",Petrol,Automatic,1st Owner,2015,1497 cc,5 Seats,6.99 Lakh
9,Renault Duster Petrol RXS CVT,"31,750 kms",Petrol,Automatic,1st Owner,2017,1498 cc,5 Seats,7.53 Lakh
10,Maruti Baleno 1.2 Alpha,"38,203 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats,6.43 Lakh
11,Honda City i VTEC CVT SV,"1,10,284 kms",Petrol,Automatic,1st Owner,2014,1497 cc,5 Seats,5.43 Lakh
12,Mahindra XUV300 W6,"10,381 kms",Petrol,Manual,1st Owner,2020,1197 cc,5 Seats,8.62 Lakh
13,Jeep Compass 1.4 Limited Plus BSIV,"32,378 kms",Petrol,Automatic,1st Owner,2019,1368 cc,5 Seats,16.78 Lakh
14,Honda City V MT,"38,906 kms",Petrol,Manual,1st Owner,2020,1498 cc,5 Seats,10.03 Lakh
15,Hyundai Grand i10 AT Asta,"59,313 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats,5.63 Lakh
16,Hyundai i20 1.4 Asta,"85,672 kms",Diesel,Manual,1st Owner,2017,1396 cc,5 Seats,6.67 Lakh
17,Maruti Ciaz 1.4 Delta,"34,971 kms",Petrol,Manual,2nd Owner,2017,1373 cc,5 Seats,6.73 Lakh
18,Nissan Micra XL Optional,"35,894 kms",Petrol,Manual,2nd Owner,2015,1198 cc,5 Seats,3.21 Lakh
19,Maruti Ciaz Alpha Automatic BSIV,"56,000 kms",Petrol,Automatic,1st Owner,2019,1462 cc,5 Seats,8.50 Lakh
20,Maruti Swift Dzire VXI,"56,568 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats,4.34 Lakh
21,Renault KWID RXT,"48,872 kms",Petrol,Manual,1st Owner,2017,799 cc,5 Seats,3.11 Lakh
22,Renault KWID RXL BSIV,"17,346 kms",Petrol,Manual,1st Owner,2019,799 cc,5 Seats,3.70 Lakh
